"subsample","n_total","alpha","xmin","p","n_tail"
"1",91,3.56296453939191,7.086,0.981,27.186
"10",98,2.12336202282656,3.229,0.233,51.613
"100",177,2.18182850492374,3.352,0.701,84.629
"101",98,2.57585280656916,4.991,0.706,45.766
"102",78,1.98630019774292,2.308,0.537,49.884
"103",144,2.52670558984647,4.594,0.632,56.997
"104",49,2.33503837506871,2.87,0.372,28.054
"105",139,2.30482453194042,4.392,0.814,56.287
"106",91,2.32488312975195,3.09,0.171,47.173
"107",177,2.00274162545579,2.332,0.022,123.278
"108",98,2.07087993877966,3.206,0.581,52.49
"109",78,2.22084039531251,3.369,0.636,39.56
"11",78,2.1290548117517,2.306,0.398,48.129
"110",144,2.13964715712382,3.356,0.717,73.686
"111",49,2.07496745586442,2.715,0.379,30.761
"112",139,2.23013202430296,3.487,0.138,65.061
"113",91,2.10685908150893,3.228,0.105,53.324
"114",177,2.12632651602793,3.317,0.617,87.033
"115",98,2.21095395185414,2.311,0.523,62.374
"116",78,2.71308027074209,4.813,0.36,37.579
"117",144,3.22607258135574,7.242,0.42,52.801
"118",49,2.26600603841398,2.073,0.162,31.871
"119",139,2.25973225000561,5.563,0.839,62.832
"12",144,2.42246698296075,4.88,0.33,58.906
"120",91,2.43878208598295,2.183,0.161,54.591
"121",177,2.43394111440418,3.271,0.092,82.39
"122",98,2.12121326640385,2.313,0.157,63.874
"123",78,2.69815514124369,4,0.786,36.055
"124",144,2.05089248367653,2.322,0.796,94.522
"125",49,2.73277364179494,3.485,0.226,24.507
"126",139,2.27572450460769,3.301,0.653,73.363
"127",91,2.28521796914793,5.106,0.413,39.055
"128",177,2.23024893664204,3.537,0.163,87.46
"129",98,2.41602739714419,5.837,0.243,42.7
"13",49,2.48823616171344,3.284,0.848,26.95
"130",78,1.93873670921459,2.387,0.018,50.992
"131",144,2.78332160712489,5.135,0.829,48.411
"132",49,1.91176369823243,2.129,0.346,34.765
"133",139,2.3642565937693,5.062,0.742,54.25
"134",91,1.8482657019753,2.133,0.245,60.758
"135",177,2.14535844027046,3.457,0.208,87.297
"136",98,2.53019126382068,4.451,0.587,45.596
"137",78,2.54184625926299,3.29,0.687,36.151
"138",144,2.75255672397882,5.655,0.47,47.499
"139",49,2.92737599583912,4.349,0.648,22.786
"14",139,1.88782341081968,2.41,0.119,88.987
"140",139,2.70024410437611,5.485,0.657,49.367
"141",91,2.03332190935297,3.341,0.055,50.916
"142",177,2.75812179853012,6.499,0.493,58.255
"143",98,2.74734386965009,6.824,0.654,34.294
"144",78,2.20438471599496,3.24,0.018,41.423
"145",144,2.59497416778834,6.968,0.182,47.135
"146",49,2.91791801017548,3.995,0.18,23.571
"147",139,2.01670384666068,2.319,0.45,93.925
"148",91,2.60791652540152,3.441,0.479,44.09
"149",177,2.37950724315102,5.048,0.647,63.42
"15",91,2.23821393718013,4.282,0.403,43.822
"150",98,2.58612118217191,4.258,0.905,41.41
"151",78,2.4934731112701,3.928,0.557,38.513
"152",144,2.16557212207477,3.327,0.014,67.657
"153",49,2.28216809184348,2.915,0.558,27.957
"154",139,1.99495314155287,2.364,0.118,92.667
"155",91,2.34637304836025,2.942,0.912,47.855
"156",177,2.82292051817477,6.47,0.431,60.848
"157",98,2.41608920545915,3.454,0.359,44.333
"158",78,2.05928478618835,3.526,0.764,41.27
"159",144,2.86922213152981,6.413,0.653,51.098
"16",177,3.08017744401562,6.597,0.915,50.347
"160",49,2.4977445573639,3.924,0.135,24.983
"161",139,2.27188830208091,4.16,0.484,61.912
"162",91,2.64328968426259,4.885,0.129,36.255
"163",177,2.35493512561854,3.821,0.367,75.24
"164",98,2.20166079418317,3.272,0.112,53.81
"165",78,1.9311051082686,1.832,0.414,56.058
"166",144,2.02579262936467,2.341,0.471,92.378
"167",49,2.47328769851381,2.595,0.706,27.536
"168",139,2.45567557161551,3.992,0.276,57.573
"169",91,2.35191015932797,3.338,0.457,45.433
"17",98,3.00574738454276,5.569,0.899,33.765
"170",177,2.12724931343112,2.31,0.219,117.996
"171",98,3.18061557054884,5.572,0.56,35.683
"172",78,2.21993702558086,2.313,0.403,48.205
"173",144,2.65697303792353,4.588,0.324,49.683
"174",49,3.03518644884216,4.188,0.558,22.7
"175",139,2.41556240521985,5.283,0.601,50.473
"176",91,2.81596261507493,4.457,0.549,35.059
"177",177,2.17708738848907,3.293,0.033,90.964
"178",98,3.08142107989055,5.125,0.842,34.013
"179",78,2.17726496456863,2.314,0.614,55.03
"18",78,3.1833661055227,3.936,0.733,30.976
"180",144,2.09380811320079,3.472,0.006,74.69
"181",49,2.08715776469682,2.285,0.136,32.635
"182",139,2.55638896430817,4.28,0.128,52.862
"183",91,2.13691035272932,3.835,0.57,50.861
"184",177,2.30158828224827,3.829,0.596,77.719
"185",98,2.48505329174703,6.783,0.757,38.867
"186",78,2.57800702774774,3.953,0.169,34.085
"187",144,2.51544790476081,4.531,0.377,59.458
"188",49,2.56457103120264,3.309,0.931,25.434
"189",139,2.67774456585339,5.288,0.948,46.675
"19",144,1.92388343843419,2.441,0.164,87.989
"190",91,2.1223356012821,2.306,0.385,56.675
"191",177,2.63166190175285,5.391,0.72,55.937
"192",98,2.0878140509606,3.264,0.031,49.922
"193",78,2.22363054203909,3.736,0.558,40.782
"194",144,2.19406803855726,3.26,0.233,67.547
"195",49,2.40815187245209,3.159,0.856,29.788
"196",139,2.83356375642212,4.773,0.585,46.324
"197",91,2.92799748096715,7.098,0.265,34.764
"198",177,2.46434608735212,5.032,0.681,63.361
"199",98,2.01528331773499,2.378,0.314,67.54
