"","region","N","alpha_mean","alpha_sd","alpha_q25","alpha_q75","alpha","pKS"
"1","Region 1",43,2.49,0.37,2.23,2.72,2.43,0.06
"2","Region 3",46,2.39,0.33,2.12,2.61,2.36,0.18
"3","Region 4",43,2.5,0.59,2.12,2.71,3.03,0.67
"4","Region 5",38,2.39,0.3,2.14,2.53,3.28,0.24
"5","Region 6",43,2.42,0.36,2.12,2.62,2.51,0.59
"6","Region 2",38,2.41,0.27,2.19,2.59,2.8,0.54
"7","Region 7",43,2.47,0.41,2.24,2.68,1.92,0.46
