"ID_sample","identifier"
"1","Sample 328"
"2","Sample 447"
"3","Sample 179"
"4","Sample 401"
"5","Sample 365"
"6","Sample 224"
"7","Sample 271"
"8","Sample 328"
"9","Sample 447"
"10","Sample 179"
"11","Sample 401"
"12","Sample 365"
"13","Sample 224"
"14","Sample 271"
"15","Sample 328"
"16","Sample 447"
"17","Sample 179"
"18","Sample 401"
"19","Sample 365"
"20","Sample 224"
"21","Sample 271"
"22","Sample 328"
"23","Sample 447"
"24","Sample 179"
"25","Sample 401"
"26","Sample 365"
"27","Sample 224"
"28","Sample 271"
"29","Sample 328"
"30","Sample 447"
"31","Sample 179"
"32","Sample 401"
"33","Sample 365"
"34","Sample 224"
"35","Sample 271"
"36","Sample 328"
"37","Sample 447"
"38","Sample 179"
"39","Sample 401"
"40","Sample 365"
"41","Sample 224"
"42","Sample 271"
"43","Sample 328"
"44","Sample 447"
"45","Sample 179"
"46","Sample 401"
"47","Sample 365"
"48","Sample 224"
"49","Sample 271"
"50","Sample 328"
"51","Sample 447"
"52","Sample 179"
"53","Sample 401"
"54","Sample 365"
"55","Sample 224"
"56","Sample 271"
"57","Sample 328"
"58","Sample 447"
"59","Sample 179"
"60","Sample 401"
"61","Sample 365"
"62","Sample 224"
"63","Sample 271"
"64","Sample 328"
"65","Sample 447"
"66","Sample 179"
"67","Sample 401"
"68","Sample 365"
"69","Sample 224"
"70","Sample 271"
"71","Sample 328"
"72","Sample 447"
"73","Sample 179"
"74","Sample 401"
"75","Sample 365"
"76","Sample 224"
"77","Sample 271"
"78","Sample 328"
"79","Sample 447"
"80","Sample 179"
"81","Sample 401"
"82","Sample 365"
"83","Sample 224"
"84","Sample 271"
"85","Sample 328"
"86","Sample 447"
"87","Sample 179"
"88","Sample 401"
"89","Sample 365"
"90","Sample 224"
"91","Sample 271"
"92","Sample 328"
"93","Sample 447"
"94","Sample 179"
"95","Sample 401"
"96","Sample 365"
"97","Sample 224"
"98","Sample 271"
"99","Sample 328"
"100","Sample 447"
"101","Sample 179"
"102","Sample 401"
"103","Sample 365"
"104","Sample 224"
"105","Sample 271"
"106","Sample 328"
"107","Sample 447"
"108","Sample 179"
"109","Sample 401"
"110","Sample 365"
"111","Sample 224"
"112","Sample 271"
"113","Sample 328"
"114","Sample 447"
"115","Sample 179"
"116","Sample 401"
"117","Sample 365"
"118","Sample 224"
"119","Sample 271"
"120","Sample 328"
"121","Sample 447"
"122","Sample 179"
"123","Sample 401"
"124","Sample 365"
"125","Sample 224"
"126","Sample 271"
"127","Sample 328"
"128","Sample 447"
"129","Sample 179"
"130","Sample 401"
"131","Sample 365"
"132","Sample 224"
"133","Sample 271"
"134","Sample 328"
"135","Sample 447"
"136","Sample 179"
"137","Sample 401"
"138","Sample 365"
"139","Sample 224"
"140","Sample 271"
"141","Sample 328"
"142","Sample 447"
"143","Sample 179"
"144","Sample 401"
"145","Sample 365"
"146","Sample 224"
"147","Sample 271"
"148","Sample 328"
"149","Sample 447"
"150","Sample 179"
"151","Sample 401"
"152","Sample 365"
"153","Sample 224"
"154","Sample 271"
"155","Sample 328"
"156","Sample 447"
"157","Sample 179"
"158","Sample 401"
"159","Sample 365"
"160","Sample 224"
"161","Sample 271"
"162","Sample 328"
"163","Sample 447"
"164","Sample 179"
"165","Sample 401"
"166","Sample 365"
"167","Sample 224"
"168","Sample 271"
"169","Sample 328"
"170","Sample 447"
"171","Sample 179"
"172","Sample 401"
"173","Sample 365"
"174","Sample 224"
"175","Sample 271"
"176","Sample 328"
"177","Sample 447"
"178","Sample 179"
"179","Sample 401"
"180","Sample 365"
"181","Sample 224"
"182","Sample 271"
"183","Sample 328"
"184","Sample 447"
"185","Sample 179"
"186","Sample 401"
"187","Sample 365"
"188","Sample 224"
"189","Sample 271"
"190","Sample 328"
"191","Sample 447"
"192","Sample 179"
"193","Sample 401"
"194","Sample 365"
"195","Sample 224"
"196","Sample 271"
"197","Sample 328"
"198","Sample 447"
"199","Sample 179"
"200","Sample 401"
"201","Sample 365"
"202","Sample 224"
"203","Sample 271"
"204","Sample 328"
"205","Sample 447"
"206","Sample 179"
"207","Sample 401"
"208","Sample 365"
"209","Sample 224"
"210","Sample 271"
"211","Sample 328"
"212","Sample 447"
"213","Sample 179"
"214","Sample 401"
"215","Sample 365"
"216","Sample 224"
"217","Sample 271"
"218","Sample 328"
"219","Sample 447"
"220","Sample 179"
"221","Sample 401"
"222","Sample 365"
"223","Sample 224"
"224","Sample 271"
"225","Sample 328"
"226","Sample 447"
"227","Sample 179"
"228","Sample 401"
"229","Sample 365"
"230","Sample 224"
"231","Sample 271"
"232","Sample 328"
"233","Sample 447"
"234","Sample 179"
"235","Sample 401"
"236","Sample 365"
"237","Sample 224"
"238","Sample 271"
"239","Sample 328"
"240","Sample 447"
"241","Sample 179"
"242","Sample 401"
"243","Sample 365"
"244","Sample 224"
"245","Sample 271"
"246","Sample 328"
"247","Sample 447"
"248","Sample 179"
"249","Sample 401"
"250","Sample 365"
"251","Sample 224"
"252","Sample 271"
"253","Sample 328"
"254","Sample 447"
"255","Sample 179"
"256","Sample 401"
"257","Sample 365"
"258","Sample 224"
"259","Sample 271"
"260","Sample 328"
"261","Sample 447"
"262","Sample 179"
"263","Sample 401"
"264","Sample 365"
"265","Sample 224"
"266","Sample 271"
"267","Sample 328"
"268","Sample 447"
"269","Sample 179"
"270","Sample 401"
"271","Sample 365"
"272","Sample 224"
"273","Sample 271"
"274","Sample 328"
"275","Sample 447"
"276","Sample 179"
"277","Sample 401"
"278","Sample 365"
"279","Sample 224"
"280","Sample 271"
"281","Sample 328"
"282","Sample 447"
"283","Sample 179"
"284","Sample 401"
"285","Sample 365"
"286","Sample 224"
"287","Sample 271"
"288","Sample 328"
"289","Sample 447"
"290","Sample 179"
"291","Sample 401"
"292","Sample 365"
"293","Sample 224"
"294","Sample 271"
"295","Sample 328"
"296","Sample 447"
"297","Sample 179"
"298","Sample 401"
"299","Sample 365"
"300","Sample 224"
"301","Sample 271"
"302","Sample 328"
"303","Sample 447"
"304","Sample 179"
"305","Sample 401"
"306","Sample 365"
"307","Sample 224"
"308","Sample 271"
"309","Sample 328"
"310","Sample 447"
"311","Sample 179"
"312","Sample 401"
"313","Sample 365"
"314","Sample 224"
"315","Sample 271"
"316","Sample 328"
"317","Sample 447"
