"subsample","n_total","alpha","xmin","p","n_tail"
"1",328,2.53194194542652,6.595,0.482,93.609
"10",179,2.44308582193944,5.852,0.673,64.913
"100",447,2.37931251745222,6.275,0.623,121.081
"101",179,2.95798688519833,4.91,0.341,54.482
"102",401,2.19827976789191,3.434,0.117,184.998
"103",365,2.40200846253578,4.196,0.076,140.451
"104",224,2.33371725286054,4.31,0.349,82.83
"105",271,2.71996490013069,6.2,0.25,73.284
"106",328,3.09212535416597,8.626,0.623,92.764
"107",447,2.44689883875083,6.042,0.776,125.757
"108",179,2.23996893187317,3.432,0.715,80.747
"109",401,2.58912225318436,7.23,0.008,95.534
"11",401,2.28941851738451,4.7,0.142,136.684
"110",365,2.22949547942935,5.024,0.414,129.276
"111",224,2.20430718375957,3.447,0.014,109.556
"112",271,2.12258100226038,3.212,0.06,122.69
"113",328,2.1903372273253,3.396,0.033,156.14
"114",447,2.83708349725117,8.438,0.521,92.881
"115",179,2.23333264604379,3.476,0.654,84.917
"116",401,2.0910336304465,3.434,0.019,187.199
"117",365,2.78784999689491,5.58,0.58,105.354
"118",224,2.06374157136296,3.429,0.002,107.701
"119",271,2.60652812384065,4.758,0.826,90.179
"12",365,2.2225817473291,3.412,0.002,160.845
"120",328,2.37389966211475,4.273,0.88,123.533
"121",447,2.36908010108723,4.507,0.194,150.359
"122",179,2.18156272069985,3.195,0.232,79.138
"123",401,2.17555719869399,3.509,0.641,209.03
"124",365,2.7736806839359,7.361,0.517,87.506
"125",224,2.30415995993007,4.603,0.66,83.392
"126",271,2.13656046918254,3.991,0.059,112.102
"127",328,2.42999911896244,5.747,0.409,116.8
"128",447,2.42526995642853,5.361,0.109,126.426
"129",179,2.26462437547132,3.497,0.336,88.782
"13",224,2.36583867422999,5.649,0.117,71.531
"130",401,2.22457004187701,3.894,0.002,162.475
"131",365,2.23433752993045,4.28,0.933,137.304
"132",224,2.16349665217576,3.598,0.048,109.342
"133",271,2.36720429925241,3.376,0.159,124.295
"134",328,2.40031535781713,3.833,0.446,142.552
"135",447,2.18818240737149,3.487,0.264,196.794
"136",179,2.13813600051833,3.46,0.066,81.587
"137",401,2.27158766051562,3.438,0.065,184.318
"138",365,2.19324015016615,3.388,0.048,166.41
"139",224,2.41204943519042,4.735,0.341,79.881
"14",271,2.58680309595367,5.447,0.022,81.644
"140",271,3.11900245522814,7.182,0.034,59.548
"141",328,2.34611748650761,5.364,0.186,107.634
"142",447,2.09064122353805,3.517,0,208.918
"143",179,2.1438630618799,3.41,0.71,82.572
"144",401,2.39377129170733,5.435,0.135,122.956
"145",365,2.09925748829466,3.473,0.071,163.98
"146",224,2.27790426846954,4.123,0.692,86.231
"147",271,2.55725089624918,4.479,0.352,95.583
"148",328,2.57886415895247,4.919,0.529,103.57
"149",447,2.52462247857138,6.51,0.121,105.2
"15",328,2.39106260672056,5.051,0.916,103.871
"150",179,2.77568761016134,5.546,0.01,57.712
"151",401,2.14604877711618,3.536,0.219,183.765
"152",365,2.56282207004404,6.642,0.285,98.809
"153",224,2.14573160495842,3.421,0.169,108.417
"154",271,3.03224415681295,7.442,0.698,89.705
"155",328,2.31936219755212,4.901,0.363,118.149
"156",447,2.219633560695,3.474,0.22,214.207
"157",179,2.09417331079977,3.521,0.389,94.592
"158",401,2.22372522103776,5.447,0.39,132.086
"159",365,2.80861038758029,9.011,0.388,75.672
"16",447,2.46832299703888,5.211,0.581,132.98
"160",224,2.35678762827093,5.494,0.072,70.927
"161",271,2.2263005191705,3.525,0.047,124.56
"162",328,2.25607635815044,3.419,0.064,154.607
"163",447,2.12977488191029,4.042,0.072,171.973
"164",179,2.14565733024233,3.524,0.158,88.775
"165",401,2.28321123235479,3.413,0.003,174.944
"166",365,2.19418124995321,3.357,0.028,158.97
"167",224,2.67919337903951,4.695,0.601,77.749
"168",271,2.44534923475562,4.915,0.137,93.828
"169",328,2.18019187024249,3.3,0.111,150.437
"17",179,2.32338814820157,3.371,0.3,85.778
"170",447,2.19748936790108,3.938,0.341,190.606
"171",179,2.17018180853074,3.511,0.574,85.624
"172",401,2.08478011856797,3.513,0.112,195.361
"173",365,2.45051036367928,6.976,0.594,119.412
"174",224,2.30518791137569,5.265,0.644,73.826
"175",271,2.13534982329697,3.464,0.001,125.115
"176",328,2.12263433796252,3.372,0.019,157.108
"177",447,2.37816834754917,6.428,0.141,124.04
"178",179,2.15816125478369,2.879,0.292,96.85
"179",401,2.43493768324038,5.22,0.419,132.523
"18",401,2.28957889879914,4.731,0.194,143.884
"180",365,2.86983076532022,6.764,0.802,85.404
"181",224,2.39241311552254,6.047,0.704,67.615
"182",271,2.14418191349611,3.475,0.031,117.695
"183",328,2.29275918367062,5.659,0.097,109.732
"184",447,2.3689326296636,4.764,0.395,148.326
"185",179,1.969646990154,2.392,0.461,109.134
"186",401,2.587959651856,6.607,0.928,98.881
"187",365,2.36995411542069,5.363,0.298,114.398
"188",224,2.21883857585847,4.29,0.425,94.143
"189",271,2.56684465223086,6.679,0.335,83.978
"19",365,2.3769315161209,6.587,0.274,104.015
"190",328,2.53284062745005,4.947,0.102,103.51
"191",447,2.40826658429788,5.441,0.027,130.506
"192",179,2.0906299876904,3.146,0.347,97.088
"193",401,2.55310364786505,5.045,0.042,121.309
"194",365,2.38770877397592,5.801,0.064,108.034
"195",224,2.63175353051367,5.385,0.183,69.153
"196",271,2.28072514835058,4.324,0.441,110.503
"197",328,2.56504950935181,7.989,0.84,94.698
"198",447,2.73604709453364,7.478,0.476,116.434
"199",179,2.21243773558461,3.495,0.206,91.61
"2",447,2.20100765296316,4.436,0.285,170.938
"20",224,2.69948126293077,7.588,0.387,59.634
"200",401,2.31091504633959,4.377,0.768,153.477
"201",365,2.67031054419175,5.078,0.231,97.722
"202",224,2.40310854404333,4.509,0.361,84.421
"203",271,2.5400152636642,5.545,0.269,80.202
"204",328,2.40161298058097,5.648,0.943,109.807
"205",447,2.54078824384298,5.368,0.61,132.107
"206",179,2.12491047570134,3.542,0.041,87.061
"207",401,2.06068218439239,3.434,0.022,188.388
"208",365,2.68362943687867,6.941,0.846,111.606
"209",224,2.69500688584023,5.168,0.74,99.584
"21",271,2.00137738233962,2.304,0.029,181.687
"210",271,2.88255113441475,7.346,0.682,63.334
"211",328,2.50226628569922,6.331,0.324,122.7
"212",447,1.95101760418048,2.359,0.001,285.87
"213",179,2.28203389269369,3.192,0.461,84.957
