"ID_sample","identifier"
"1","Sample 91"
"2","Sample 177"
"3","Sample 98"
"4","Sample 78"
"5","Sample 144"
"6","Sample 49"
"7","Sample 139"
"8","Sample 91"
"9","Sample 177"
"10","Sample 98"
"11","Sample 78"
"12","Sample 144"
"13","Sample 49"
"14","Sample 139"
"15","Sample 91"
"16","Sample 177"
"17","Sample 98"
"18","Sample 78"
"19","Sample 144"
"20","Sample 49"
"21","Sample 139"
"22","Sample 91"
"23","Sample 177"
"24","Sample 98"
"25","Sample 78"
"26","Sample 144"
"27","Sample 49"
"28","Sample 139"
"29","Sample 91"
"30","Sample 177"
"31","Sample 98"
"32","Sample 78"
"33","Sample 144"
"34","Sample 49"
"35","Sample 139"
"36","Sample 91"
"37","Sample 177"
"38","Sample 98"
"39","Sample 78"
"40","Sample 144"
"41","Sample 49"
"42","Sample 139"
"43","Sample 91"
"44","Sample 177"
"45","Sample 98"
"46","Sample 78"
"47","Sample 144"
"48","Sample 49"
"49","Sample 139"
"50","Sample 91"
"51","Sample 177"
"52","Sample 98"
"53","Sample 78"
"54","Sample 144"
"55","Sample 49"
"56","Sample 139"
"57","Sample 91"
"58","Sample 177"
"59","Sample 98"
"60","Sample 78"
"61","Sample 144"
"62","Sample 49"
"63","Sample 139"
"64","Sample 91"
"65","Sample 177"
"66","Sample 98"
"67","Sample 78"
"68","Sample 144"
"69","Sample 49"
"70","Sample 139"
"71","Sample 91"
"72","Sample 177"
"73","Sample 98"
"74","Sample 78"
"75","Sample 144"
"76","Sample 49"
"77","Sample 139"
"78","Sample 91"
"79","Sample 177"
"80","Sample 98"
"81","Sample 78"
"82","Sample 144"
"83","Sample 49"
"84","Sample 139"
"85","Sample 91"
"86","Sample 177"
"87","Sample 98"
"88","Sample 78"
"89","Sample 144"
"90","Sample 49"
"91","Sample 139"
"92","Sample 91"
"93","Sample 177"
"94","Sample 98"
"95","Sample 78"
"96","Sample 144"
"97","Sample 49"
"98","Sample 139"
"99","Sample 91"
"100","Sample 177"
"101","Sample 98"
"102","Sample 78"
"103","Sample 144"
"104","Sample 49"
"105","Sample 139"
"106","Sample 91"
"107","Sample 177"
"108","Sample 98"
"109","Sample 78"
"110","Sample 144"
"111","Sample 49"
"112","Sample 139"
"113","Sample 91"
"114","Sample 177"
"115","Sample 98"
"116","Sample 78"
"117","Sample 144"
"118","Sample 49"
"119","Sample 139"
"120","Sample 91"
"121","Sample 177"
"122","Sample 98"
"123","Sample 78"
"124","Sample 144"
"125","Sample 49"
"126","Sample 139"
"127","Sample 91"
"128","Sample 177"
"129","Sample 98"
"130","Sample 78"
"131","Sample 144"
"132","Sample 49"
"133","Sample 139"
"134","Sample 91"
"135","Sample 177"
"136","Sample 98"
"137","Sample 78"
"138","Sample 144"
"139","Sample 49"
"140","Sample 139"
"141","Sample 91"
"142","Sample 177"
"143","Sample 98"
"144","Sample 78"
"145","Sample 144"
"146","Sample 49"
"147","Sample 139"
"148","Sample 91"
"149","Sample 177"
"150","Sample 98"
"151","Sample 78"
"152","Sample 144"
"153","Sample 49"
"154","Sample 139"
"155","Sample 91"
"156","Sample 177"
