"ID_sample","identifier"
"1","Sample 38"
"2","Sample 33"
"3","Sample 23"
"4","Sample 51"
"5","Sample 13"
"6","Sample 11"
"7","Sample 12"
"8","Sample 23"
"9","Sample 25"
"10","Sample 26"
"11","Sample 38"
"12","Sample 33"
"13","Sample 23"
"14","Sample 51"
"15","Sample 13"
"16","Sample 11"
"17","Sample 12"
"18","Sample 23"
"19","Sample 25"
"20","Sample 26"
"21","Sample 38"
"22","Sample 33"
"23","Sample 23"
"24","Sample 51"
"25","Sample 13"
"26","Sample 11"
"27","Sample 12"
"28","Sample 23"
"29","Sample 25"
"30","Sample 26"
"31","Sample 38"
"32","Sample 33"
"33","Sample 23"
"34","Sample 51"
"35","Sample 13"
"36","Sample 11"
"37","Sample 12"
"38","Sample 23"
"39","Sample 25"
"40","Sample 26"
"41","Sample 38"
"42","Sample 33"
"43","Sample 23"
"44","Sample 51"
"45","Sample 13"
"46","Sample 11"
"47","Sample 12"
"48","Sample 23"
"49","Sample 25"
"50","Sample 26"
"51","Sample 38"
"52","Sample 33"
"53","Sample 23"
"54","Sample 51"
"55","Sample 13"
"56","Sample 11"
"57","Sample 12"
"58","Sample 23"
"59","Sample 25"
"60","Sample 26"
"61","Sample 38"
"62","Sample 33"
"63","Sample 23"
"64","Sample 51"
"65","Sample 13"
"66","Sample 11"
"67","Sample 12"
"68","Sample 23"
"69","Sample 25"
"70","Sample 26"
"71","Sample 38"
"72","Sample 33"
"73","Sample 23"
"74","Sample 51"
"75","Sample 13"
"76","Sample 11"
"77","Sample 12"
"78","Sample 23"
"79","Sample 25"
"80","Sample 26"
"81","Sample 38"
"82","Sample 33"
"83","Sample 23"
"84","Sample 51"
"85","Sample 13"
"86","Sample 11"
"87","Sample 12"
"88","Sample 23"
"89","Sample 25"
"90","Sample 26"
"91","Sample 38"
"92","Sample 33"
"93","Sample 23"
"94","Sample 51"
"95","Sample 13"
"96","Sample 11"
"97","Sample 12"
"98","Sample 23"
"99","Sample 25"
"100","Sample 26"
"101","Sample 38"
"102","Sample 33"
"103","Sample 23"
"104","Sample 51"
"105","Sample 13"
"106","Sample 11"
"107","Sample 12"
"108","Sample 23"
"109","Sample 25"
"110","Sample 26"
"111","Sample 38"
"112","Sample 33"
"113","Sample 23"
"114","Sample 51"
"115","Sample 13"
"116","Sample 11"
"117","Sample 12"
"118","Sample 23"
"119","Sample 25"
"120","Sample 26"
"121","Sample 38"
"122","Sample 33"
"123","Sample 23"
"124","Sample 51"
"125","Sample 13"
"126","Sample 11"
"127","Sample 12"
"128","Sample 23"
"129","Sample 25"
"130","Sample 26"
"131","Sample 38"
"132","Sample 33"
"133","Sample 23"
"134","Sample 51"
"135","Sample 13"
"136","Sample 11"
"137","Sample 12"
"138","Sample 23"
"139","Sample 25"
"140","Sample 26"
"141","Sample 38"
"142","Sample 33"
"143","Sample 23"
"144","Sample 51"
"145","Sample 13"
"146","Sample 11"
"147","Sample 12"
"148","Sample 23"
"149","Sample 25"
"150","Sample 26"
"151","Sample 38"
"152","Sample 33"
"153","Sample 23"
"154","Sample 51"
"155","Sample 13"
"156","Sample 11"
"157","Sample 12"
"158","Sample 23"
"159","Sample 25"
"160","Sample 26"
"161","Sample 38"
"162","Sample 33"
"163","Sample 23"
"164","Sample 51"
"165","Sample 13"
"166","Sample 11"
"167","Sample 12"
"168","Sample 23"
"169","Sample 25"
"170","Sample 26"
"171","Sample 38"
"172","Sample 33"
"173","Sample 23"
"174","Sample 51"
"175","Sample 13"
"176","Sample 11"
"177","Sample 12"
"178","Sample 23"
"179","Sample 25"
"180","Sample 26"
"181","Sample 38"
"182","Sample 33"
"183","Sample 23"
"184","Sample 51"
"185","Sample 13"
"186","Sample 11"
"187","Sample 12"
"188","Sample 23"
"189","Sample 25"
"190","Sample 26"
"191","Sample 38"
"192","Sample 33"
"193","Sample 23"
"194","Sample 51"
"195","Sample 13"
"196","Sample 11"
"197","Sample 12"
"198","Sample 23"
"199","Sample 25"
"200","Sample 26"
"201","Sample 38"
"202","Sample 33"
"203","Sample 23"
"204","Sample 51"
"205","Sample 13"
"206","Sample 11"
"207","Sample 12"
"208","Sample 23"
"209","Sample 25"
"210","Sample 26"
"211","Sample 38"
