"ID_sample","identifier"
"319","Sample 52"
"320","Sample 15"
"321","Sample 21"
"322","Sample 24"
"323","Sample 147"
"324","Sample 35"
"325","Sample 24"
"326","Sample 31"
"327","Sample 31"
"328","Sample 11"
"329","Sample 28"
"330","Sample 27"
"331","Sample 29"
"332","Sample 29"
"333","Sample 19"
"334","Sample 48"
"335","Sample 15"
"336","Sample 30"
"337","Sample 11"
"338","Sample 53"
"339","Sample 13"
"340","Sample 46"
"341","Sample 21"
"342","Sample 52"
"343","Sample 15"
"344","Sample 21"
"345","Sample 24"
"346","Sample 147"
"347","Sample 35"
"348","Sample 24"
"349","Sample 31"
"350","Sample 31"
"351","Sample 11"
"352","Sample 28"
"353","Sample 27"
"354","Sample 29"
"355","Sample 29"
"356","Sample 19"
"357","Sample 48"
"358","Sample 15"
"359","Sample 30"
"360","Sample 11"
"361","Sample 53"
"362","Sample 13"
"363","Sample 46"
"364","Sample 21"
"365","Sample 52"
"366","Sample 15"
"367","Sample 21"
"368","Sample 24"
"369","Sample 147"
"370","Sample 35"
"371","Sample 24"
"372","Sample 31"
"373","Sample 31"
"374","Sample 11"
"375","Sample 28"
"376","Sample 27"
"377","Sample 29"
"378","Sample 29"
"379","Sample 19"
"380","Sample 48"
"381","Sample 15"
"382","Sample 30"
"383","Sample 11"
"384","Sample 53"
"385","Sample 13"
"386","Sample 46"
"387","Sample 21"
"388","Sample 52"
"389","Sample 15"
"390","Sample 21"
"391","Sample 24"
"392","Sample 147"
"393","Sample 35"
"394","Sample 24"
"395","Sample 31"
"396","Sample 31"
"397","Sample 11"
"398","Sample 28"
"399","Sample 27"
"400","Sample 29"
"401","Sample 29"
"402","Sample 19"
"403","Sample 48"
"404","Sample 15"
"405","Sample 30"
"406","Sample 11"
"407","Sample 53"
"408","Sample 13"
"409","Sample 46"
"410","Sample 21"
"411","Sample 52"
"412","Sample 15"
"413","Sample 21"
"414","Sample 24"
"415","Sample 147"
"416","Sample 35"
"417","Sample 24"
"418","Sample 31"
"419","Sample 31"
"420","Sample 11"
"421","Sample 28"
"422","Sample 27"
"423","Sample 29"
"424","Sample 29"
"425","Sample 19"
"426","Sample 48"
"427","Sample 15"
"428","Sample 30"
"429","Sample 11"
"430","Sample 53"
"431","Sample 13"
"432","Sample 46"
"433","Sample 21"
"434","Sample 52"
"435","Sample 15"
"436","Sample 21"
"437","Sample 24"
"438","Sample 147"
"439","Sample 35"
"440","Sample 24"
"441","Sample 31"
"442","Sample 31"
"443","Sample 11"
"444","Sample 28"
"445","Sample 27"
"446","Sample 29"
"447","Sample 29"
"448","Sample 19"
"449","Sample 48"
"450","Sample 15"
"451","Sample 30"
"452","Sample 11"
"453","Sample 53"
"454","Sample 13"
"455","Sample 46"
"456","Sample 21"
"457","Sample 52"
"458","Sample 15"
"459","Sample 21"
"460","Sample 24"
"461","Sample 147"
"462","Sample 35"
"463","Sample 24"
"464","Sample 31"
"465","Sample 31"
"466","Sample 11"
"467","Sample 28"
"468","Sample 27"
"469","Sample 29"
"470","Sample 29"
"471","Sample 19"
"472","Sample 48"
"473","Sample 15"
"474","Sample 30"
"475","Sample 11"
"476","Sample 53"
"477","Sample 13"
"478","Sample 46"
"479","Sample 21"
"480","Sample 52"
"481","Sample 15"
"482","Sample 21"
"483","Sample 24"
"484","Sample 147"
"485","Sample 35"
"486","Sample 24"
"487","Sample 31"
"488","Sample 31"
"489","Sample 11"
"490","Sample 28"
"491","Sample 27"
"492","Sample 29"
"493","Sample 29"
"494","Sample 19"
"495","Sample 48"
"496","Sample 15"
"497","Sample 30"
"498","Sample 11"
"499","Sample 53"
"500","Sample 13"
"501","Sample 46"
"502","Sample 21"
"503","Sample 52"
"504","Sample 15"
"505","Sample 21"
"506","Sample 24"
"507","Sample 147"
"508","Sample 35"
"509","Sample 24"
"510","Sample 31"
"511","Sample 31"
"512","Sample 11"
"513","Sample 28"
"514","Sample 27"
"515","Sample 29"
"516","Sample 29"
"517","Sample 19"
"518","Sample 48"
"519","Sample 15"
"520","Sample 30"
"521","Sample 11"
"522","Sample 53"
"523","Sample 13"
"524","Sample 46"
"525","Sample 21"
"526","Sample 52"
"527","Sample 15"
"528","Sample 21"
"529","Sample 24"
"530","Sample 147"
"531","Sample 35"
"532","Sample 24"
"533","Sample 31"
"534","Sample 31"
"535","Sample 11"
"536","Sample 28"
"537","Sample 27"
"538","Sample 29"
"539","Sample 29"
"540","Sample 19"
"541","Sample 48"
"542","Sample 15"
"543","Sample 30"
