"subsample","n_total","alpha","xmin","p","n_tail"
"536",46,2.54645829478515,6.299,0.484,25.874
"537",66,2.2916338713627,2.993,0.18,36.585
"538",24,2.50151428773978,3.496,0.538,14.982
"539",84,2.29044093374477,2.897,0.783,47.517
"54",31,3.23062732478788,4.529,0.742,15.827
"540",30,1.87306364875259,1.254,0.02,28.161
"541",94,2.2721249553252,3.218,0.189,45.847
"542",123,2.86010160220833,5.339,0.044,44.213
"543",93,2.67611003069323,5.487,0.969,36.779
"544",108,2.21111299965489,3.417,0.18,54.005
"545",63,2.74017000372511,4.94,0.769,26.877
"546",10,2.99587840734575,3.308,0.803,7.7875751503006
"547",31,2.2484997973383,3.414,0.532,19.512
"548",71,2.04784134874825,2.253,0.736,45.822
"549",54,2.00864052844383,2.314,0.279,36.515
"55",71,2.30400091102767,3.203,0.797,41.393
"550",139,2.22925040044832,3.055,0.155,67.324
"551",88,1.90993258212357,2.51,0.041,57.035
"552",379,2.3293992850075,5.152,0.391,125.434
"553",78,2.00842271473101,3.083,0.054,43.918
"554",78,2.09773558365876,2.375,0.306,49.719
"555",25,1.98732088501332,2.389,0.202,18.586
"556",92,2.42618080216263,3.234,0.491,43.055
"557",92,2.16254364606261,2.297,0.466,56.815
"558",51,2.24072971850565,2.811,0.428,29.496
"559",22,1.90489127223797,1.264,0.758,20.51
"56",54,2.23432163788803,3.997,0.78,28.841
"560",46,2.52007961374328,3.491,0.421,24.712
"561",160,2.07868556054131,3.247,0.222,82.215
"562",29,2.69932384006445,3.196,0.481,16.879
"563",133,2.11999445808283,3.271,0.053,70.688
"564",55,2.31828754156501,2.828,0.47,31.772
"565",46,2.78170729971153,3.747,0.107,22.372
"566",66,2.32239244843069,4.331,0.27,32.089
"567",24,3.3512510651573,2.344,0.942,15.188
"568",84,2.49342439142355,4.015,0.227,37.666
"569",30,4.50684292734618,4.234,0.409,16.086
"57",139,2.80161261572481,5.664,0.825,42.575
"570",94,2.09261493131383,2.345,0.046,61.286
"571",123,2.46958358335994,2.875,0.948,67.513
"572",93,2.68254865808822,4.271,0.809,38.28
"573",108,2.0917620901937,2.302,0.484,70.794
"574",63,2.09788110869188,3.004,0.989,39.545
"575",10,2.8129640961653,2.653,0.609,7.43143143143143
"576",31,3.30811084713198,5.659,0.24,15.384
"577",71,2.34346679567607,3.339,0.281,35.413
"578",54,1.90547909598549,1.777,0.299,41.682
"579",139,2.60839619973353,5.08,0.487,50.723
"58",88,2.70427225793109,3.702,0.744,35.968
"580",88,2.60685961661756,4.352,0.54,43.865
"581",379,2.83843541290132,8.061,0.724,98.711
"582",78,2.16066706271685,2.201,0.724,47.704
