"subsample","n_total","alpha","xmin","p","n_tail"
"1",38,2.39340893612823,3.11,0.193,22.369
"10",26,2.18422841208872,2.107,0.164,18.927
"100",26,2.09176896382903,2.141,0.098,19.211
"101",38,3.47586060732111,2.608,0.116,20.129
"102",33,2.90723035097349,3.674,0.75,17.907
"103",23,3.47493206307691,5.293,0.657,12.347
"104",51,2.93253394043675,2.849,0.416,26.717
"105",13,3.11894899368663,2.909,0.761,9.25301204819277
"106",11,2.41387991509308,3.08,0.251,8.12412412412412
"107",12,1.88231978803434,1.433,0.256,11.1159274193548
"108",23,2.50011226756075,2.259,0.518,16.301
"109",25,2.56100224053105,2.323,0.325,17.541
"11",38,2.34944420611561,2.958,0.377,25.064
"110",26,2.01884789670274,2.665,0.021,19.97
"111",38,2.02779766912765,2.185,0.026,26.645
"112",33,2.02749323208604,2.588,0.283,24.735
"113",23,2.7694488010867,2.707,0.101,14.141
"114",51,1.86456537493406,2.614,0.016,36.818
"115",13,2.62131495596532,2.24,0.177,9.84353059177533
"116",11,3.08100814600494,2.511,0.713,7.976
"117",12,2.3089069057775,3.48,0.478,10.225
"118",23,2.98549756693787,3.49,0.907,13.666
"119",25,2.07921231609537,1.192,0.48,23.466
"12",33,2.18810628997813,3.156,0.298,21.113
"120",26,2.23723113019023,2.201,0.713,18.375
"121",38,2.11949474155545,4.524,0.26,22.058
"122",33,2.90509100835715,4.089,0.227,17.721
"123",23,2.03461834350047,2.726,0.498,18.06
"124",51,1.92362617110807,2.25,0.75,35.5
"125",13,2.11451591003201,1.164,0.751,12.3438818565401
"126",11,2.05168983202559,1.085,0.952,10.6333333333333
"127",12,2.6767402107445,3.995,0.252,8.728
"128",23,1.85169982808823,1.3,0.041,21.482
"129",25,2.26043801859318,2.517,0.463,18.349
"13",23,2.27762389885621,2.384,0.43,16.912
"130",26,2.21278192267184,2.43,0.783,18.439
"131",38,2.46142410471584,3.382,0.828,21.527
"132",33,2.47030249181585,3.231,0.478,19.513
"133",23,3.03668397722959,2.6,0.847,13.594
"134",51,3.79169136636822,4.135,0.863,20.722
"135",13,2.29795324193236,2.511,0.746,10.339
"136",11,1.71835336840017,1.937,0.29,10.0901803607214
"137",12,2.72743635685724,2.302,0.311,10.2844129554656
"138",23,2.10337934017844,2.563,0.501,17.1
"139",25,2.2917940802931,2.181,0.501,17.794
"14",51,2.10344229963838,3.958,0.414,29.677
"140",26,1.86690908450718,2.396,0.085,19.966
"141",38,2.98034048480934,3.901,0.088,18.528
"142",33,2.94164443373723,4.274,0.247,16.901
"143",23,3.55965525265496,2.955,0.228,12.876
"144",51,1.9822359761691,2.285,0.119,34.645
"145",13,1.79765352311597,1.504,0.364,11.9949849548646
