"subsample","n_total","alpha","xmin","p","n_tail"
"349",18,2.47660317795878,2.104,0.941,13.026
"35",50,2.17942405875629,2.922,0.416,29.161
"350",50,2.02624925150637,2.024,0.192,35.085
"36",8,2.14011225145572,2.54,0.565,6.88977955911824
"37",46,2.1088803439392,2.326,0.584,30.962
"38",26,2.24471440101677,1.682,0.789,20.501
"39",70,1.87935031702706,2.138,0.024,48.228
"4",70,2.35426857674688,3.923,0.317,34.562
"40",13,3.44939698484001,3.178,0.816,9.99696048632219
"41",18,2.46023199943766,3.02,0.264,12.213
"42",50,2.14212538128326,2.303,0.806,32.843
"43",8,1.87183839100706,1.405,0.464,7.53804930332262
"44",46,2.51897115083004,3.088,0.812,26.279
"45",26,1.66930811115389,1.366,0.521,24.346
"46",70,2.0295820546055,2.455,0.439,49.505
"47",13,1.90966371513115,1.357,0.06,12.081983805668
"48",18,1.73523432605898,1.565,0.129,16.552
"49",50,2.35696539957413,3.226,0.82,32.56
"5",13,3.60808186300241,3.198,0.843,9.133
"50",8,2.40876211744581,1.762,0.275,6.84979423868313
"51",46,2.16701038461093,2.972,0.842,28.506
"52",26,2.89349758165098,3.132,0.192,15.009
"53",70,3.27901835526265,6.646,0.723,25.629
"54",13,2.36311718689017,1.755,0.263,10.4223790322581
"55",18,3.3797406533804,2.741,0.716,11.238
"56",50,3.34309555340399,5.918,0.758,20.341
"57",8,2.36329101462072,1.83,0.717,6.79331306990881
"58",46,3.27192751628329,4.965,0.636,19.726
"59",26,3.22518283976435,2.844,0.481,14.586
"6",18,2.34708391420446,4.968,0.381,11.788
"60",70,3.06143993865697,3.611,0.765,31.053
"61",13,2.51707146545518,2.294,0.966,9.86372745490982
"62",18,2.47039128844927,1.892,0.37,13.3323323323323
"63",50,1.97432582729933,3.161,0.495,33.175
"64",8,1.87722182892588,1.354,0.606,7.546346782988
"65",46,1.99693536180691,2.463,0.646,32.027
"66",26,2.12437771076401,1.175,0.578,24.434
"67",70,2.01904249116467,2.446,0.802,45.225
"68",13,3.16632702400463,3.119,0.437,8.94583751253761
"69",18,3.16593421218716,2.819,0.449,10.976
"7",50,2.78283776057202,5.568,0.833,24.993
"70",50,2.32613979409739,2.048,0.296,32.058
"71",8,4.1376292156713,5.168,0.419,6.45125628140704
"72",46,2.59847655105767,3.414,0.893,26.215
"73",26,3.50912420769943,2.72,0.531,13.814
"74",70,2.97666061072601,7.328,0.567,27.188
"75",13,2.85405272451763,4.103,0.612,8.565
"76",18,2.23784657809215,2.362,0.503,13.644
"77",50,2.73092379891067,3.199,0.366,25.592
"78",8,1.82513504348069,1.544,0.154,7.48236514522822
"79",46,3.34097791629911,2.989,0.073,21.773
"8",8,2.52572203746592,2.112,0.905,6.93871297242084
"80",26,2.78188591902862,3.349,0.706,15.861
"81",70,2.7090494246162,3.476,0.622,33.344
"82",13,2.93443784956098,2.49,0.621,9.43543543543544
"83",18,3.998584210441,5.786,0.625,10.221
"84",50,2.45622108360977,2.307,0.647,31.393
"85",8,3.55207909453975,3.899,0.73,6.44782168186423
"86",46,2.57428307735676,4.051,0.275,23.937
"87",26,1.76505232084995,1.356,0.096,24.251
"88",70,1.95412600092949,2.48,0.418,49.832
"89",13,3.42240382754717,2.547,0.94,10.8886639676113
"9",46,2.12606634679542,2.351,0.474,31.582
"90",18,1.76592660940017,1.524,0.411,16.514
"91",50,2.49661188601694,3.413,0.53,29.97
"92",8,1.87218455057543,1.339,0.365,7.57019438444924
"93",46,1.83079959177612,1.184,0.018,43.573
"94",26,1.70932269282997,1.325,0.293,24.317
"95",70,2.06762510583239,3.308,0.092,43.668
"96",13,1.74485861752384,1.577,0.305,12.0060120240481
"97",18,2.12928470083276,2.338,0.649,13.639
"98",50,2.21507512623328,2.005,0.294,33.54
"99",8,1.85085641795797,1.565,0.607,7.47713097713098
