"","region","N","alpha_mean","alpha_sd","alpha_q25","alpha_q75","alpha","pKS"
"1","Region 1",35,2.49,0.2,2.38,2.57,2.17,0.77
"2","Region 2",34,2.45,0.24,2.3,2.56,2.04,0.28
"3","Region 3",44,2.29,0.23,2.14,2.4,2.27,0.22
"4","Region 4",33,2.39,0.2,2.22,2.48,2.46,0.86
"5","Region 5",33,2.47,0.22,2.32,2.67,2.29,0.49
"6","Region 6",36,2.47,0.25,2.3,2.63,2.61,0.53
"7","Region 7",37,2.48,0.22,2.32,2.61,2.39,0.25
