"","dep_id","n","xmin","alpha","ntail","pKS"
"dep.2.a",2,147,13,2.97976988518364,28,0.7734
"dep.3.a",3,35,4,2.2566034372684,22,0.2084
"dep.5.a",5,24,2,2.20202870998474,16,0.1234
"dep.6.a",6,31,2,1.758853641381,28,0.01
"dep.7.a",7,21,8,4.19482644394575,8,0.1376
"dep.8.a",8,11,6,1.96582114919292,7,0.3298
"dep.10.a",10,28,3,2.03403404567161,19,0.1846
"dep.11.a",11,27,3,2.0685013608351,15,0.5944
"dep.12.a",12,29,7,3.5843042589916,9,0.6982
"dep.13.a",13,29,2,2.26350668084241,24,0.3702
"dep.14.a",14,19,4,2.20162168628045,12,0.8248
"dep.15.a",15,48,5,2.50688974027655,19,0.2658
"dep.17.a",17,15,3,1.88333224125859,11,0.6146
"dep.18.a",18,30,6,4.98718303125235,12,0.4698
"dep.20.a",20,11,4,2.86390257907501,6,0.91
"dep.21.a",21,53,7,2.55475447277322,19,0.723
"dep.22.a",22,13,3,2.0733762563003,10,0.1948
"dep.23.a",23,46,3,2.17036387127665,30,0.1414
"dep.24.a",24,21,3,1.80785618128501,17,0.0932
"dep.27.a",27,52,3,2.55339876568803,39,0.7544
"dep.28.a",28,15,3,2.02196489070716,12,0.511
"dep.30.a",30,21,3,2.79510066959941,14,0.7682
"dep.31.a",31,24,2,2.01955921100894,22,0.9522
