"","region_id","region","n","xmin","alpha","ntail","pKS"
"region.1","1","Region 1","429","2","2.07175112297119","258","0.0714"
"region.2","2","Region 2","677","3","1.99592548684498","350","0.0044"
"region.3","3","Region 3","305","3","2.37275405094777","154","0.0778"
"region.4","4","Region 4","564","7","2.66606713977365","97","0.2614"
"region.5","5","Region 5","537","6","2.74685352978069","115","0.2124"
"region.6","6","Region 6","302","4","2.28664838549863","120","0.1374"
"region.7","7","Region 7","483","20","3.18095275811958","38","0.8098"
