"","region_id","region","n","xmin","alpha","ntail","pKS"
"region.1.b","1","Region 1","328","2","2.16889456700863","174","0.7672"
"region.2.b","2","Region 2","447","3","2.04112097606964","199","0.2784"
"region.3.b","3","Region 3","179","2","2.26738792800989","122","0.225"
"region.4.b","4","Region 4","401","5","2.45920420817214","99","0.857"
"region.5.b","5","Region 5","365","3","2.29173939065477","163","0.494"
"region.6.b","6","Region 6","224","5","2.60629454529912","56","0.5302"
"region.7.b","7","Region 7","271","5","2.38971709059053","97","0.2538"
