"","dep_id","n","xmin","alpha","ntail","pKS"
"dep.2.c",2,38,1,1.82125129190941,38,0.3394
"dep.3.c",3,33,10,3.8130692607509,11,0.971
"dep.10.c",10,23,9,4.94510474087558,8,0.8636
"dep.12.c",12,51,3,2.48791413668864,22,0.8062
"dep.14.c",14,13,4,3.58895090549271,5,0.5796
"dep.17.c",17,11,3,2.86159437290445,6,0.332
"dep.18.c",18,12,1,1.92342899011467,12,0.1052
"dep.21.c",21,23,5,2.24226169895447,12,0.4362
"dep.22.c",22,25,9,3.75695112694772,5,0.5684
"dep.23.c",23,26,5,3.24814387376206,9,0.148
