"ID_sample","identifier"
"1","Sample 379"
"2","Sample 78"
"3","Sample 25"
"4","Sample 92"
"5","Sample 51"
"6","Sample 22"
"7","Sample 46"
"8","Sample 160"
"9","Sample 29"
"10","Sample 133"
"11","Sample 55"
"12","Sample 46"
"13","Sample 66"
"14","Sample 24"
"15","Sample 84"
"16","Sample 30"
"17","Sample 94"
"18","Sample 123"
"19","Sample 93"
"20","Sample 108"
"21","Sample 63"
"22","Sample 10"
"23","Sample 31"
"24","Sample 71"
"25","Sample 54"
"26","Sample 139"
"27","Sample 88"
"28","Sample 379"
"29","Sample 78"
"30","Sample 25"
"31","Sample 92"
"32","Sample 51"
"33","Sample 22"
"34","Sample 46"
"35","Sample 160"
"36","Sample 29"
"37","Sample 133"
"38","Sample 55"
"39","Sample 46"
"40","Sample 66"
"41","Sample 24"
"42","Sample 84"
"43","Sample 30"
"44","Sample 94"
"45","Sample 123"
"46","Sample 93"
"47","Sample 108"
"48","Sample 63"
"49","Sample 10"
"50","Sample 31"
"51","Sample 71"
"52","Sample 54"
"53","Sample 139"
"54","Sample 88"
"55","Sample 379"
"56","Sample 78"
"57","Sample 25"
"58","Sample 92"
"59","Sample 51"
"60","Sample 22"
"61","Sample 46"
"62","Sample 160"
"63","Sample 29"
"64","Sample 133"
"65","Sample 55"
"66","Sample 46"
"67","Sample 66"
"68","Sample 24"
"69","Sample 84"
"70","Sample 30"
"71","Sample 94"
"72","Sample 123"
"73","Sample 93"
"74","Sample 108"
"75","Sample 63"
"76","Sample 10"
"77","Sample 31"
"78","Sample 71"
"79","Sample 54"
"80","Sample 139"
"81","Sample 88"
"82","Sample 379"
"83","Sample 78"
"84","Sample 25"
"85","Sample 92"
"86","Sample 51"
"87","Sample 22"
"88","Sample 46"
"89","Sample 160"
"90","Sample 29"
"91","Sample 133"
"92","Sample 55"
"93","Sample 46"
"94","Sample 66"
"95","Sample 24"
"96","Sample 84"
"97","Sample 30"
"98","Sample 94"
"99","Sample 123"
"100","Sample 93"
"101","Sample 108"
"102","Sample 63"
"103","Sample 10"
"104","Sample 31"
"105","Sample 71"
"106","Sample 54"
"107","Sample 139"
"108","Sample 88"
"109","Sample 379"
"110","Sample 78"
"111","Sample 25"
"112","Sample 92"
"113","Sample 51"
"114","Sample 22"
"115","Sample 46"
"116","Sample 160"
"117","Sample 29"
"118","Sample 133"
"119","Sample 55"
"120","Sample 46"
"121","Sample 66"
"122","Sample 24"
"123","Sample 84"
"124","Sample 30"
"125","Sample 94"
"126","Sample 123"
"127","Sample 93"
"128","Sample 108"
"129","Sample 63"
"130","Sample 10"
"131","Sample 31"
"132","Sample 71"
"133","Sample 54"
"134","Sample 139"
"135","Sample 88"
"136","Sample 379"
"137","Sample 78"
"138","Sample 25"
"139","Sample 92"
"140","Sample 51"
"141","Sample 22"
"142","Sample 46"
"143","Sample 160"
"144","Sample 29"
"145","Sample 133"
"146","Sample 55"
"147","Sample 46"
"148","Sample 66"
"149","Sample 24"
"150","Sample 84"
"151","Sample 30"
"152","Sample 94"
"153","Sample 123"
"154","Sample 93"
"155","Sample 108"
"156","Sample 63"
"157","Sample 10"
"158","Sample 31"
"159","Sample 71"
"160","Sample 54"
"161","Sample 139"
"162","Sample 88"
"163","Sample 379"
"164","Sample 78"
"165","Sample 25"
"166","Sample 92"
"167","Sample 51"
"168","Sample 22"
"169","Sample 46"
"170","Sample 160"
"171","Sample 29"
