"subsample","n_total","alpha","xmin","p","n_tail"
"1",147,3.02738064795713,6.97,0.705,42.341
"10",29,2.53300064127411,6.086,0.74,16.853
"100",27,1.85777335843936,1.268,0.545,25.431
"1000",19,3.00841146860136,4.059,0.705,11.496
"1001",48,4.0222641381424,4.823,0.187,21.2
"1002",15,2.82725842902442,2.416,0.407,11.0060180541625
"1003",30,2.15361175312061,2.415,0.525,23.137
"1004",11,1.93375938531548,1.344,0.026,10.2571721311475
"1005",53,2.84456887816843,5.218,0.156,23.471
"1006",13,3.48270970564262,4.55,0.571,7.945
"1007",46,2.64495169232661,3.071,0.948,24.829
"1008",21,3.34122597602044,3.247,0.691,12.423
"1009",52,2.35390969274581,3.593,0.042,28.515
"101",29,2.58066355704213,3.226,0.566,17.144
"1010",15,2.60161814133619,3.324,0.069,10.205
"1011",21,1.84810265954113,1.329,0.053,19.622
"1012",24,1.91085037220778,1.247,0.319,22.649
"1013",147,2.10940403216167,3.459,0.292,76.912
"1014",35,2.51825104794597,4.107,0.265,19.73
"1015",24,2.22874207044601,1.901,0.178,17.988
"1016",31,2.6902754824169,3.05,0.317,17.828
"1017",31,2.09051508235016,2.025,0.291,22.919
"1018",11,2.90348158047261,2.932,0.628,7.82085020242915
"1019",28,2.38785585208884,3.514,0.849,18.281
"102",29,3.77295115302031,3.245,0.682,14.164
"1020",27,1.94502393691122,1.253,0.47,25.368
"1021",29,2.19051509949748,3.815,0.335,19.796
"1022",29,2.90950954790282,3.897,0.527,15.587
"1023",19,1.84783115834561,1.371,0.318,17.6596596596597
"1024",48,1.86888194228481,2.413,0.618,33.689
"1025",15,3.4484819789958,3.176,0.708,10.514
"1026",30,3.42093360828319,5.33,0.986,14.057
"1027",11,2.17152667698952,2.553,0.427,8.952
"1028",53,2.62942667276618,4.148,0.382,26.67
"1029",13,3.40414792148952,3.33,0.729,8.658
"103",19,2.57706002246358,2.341,0.83,14.016
"1030",46,2.91768619098787,3.366,0.609,24.022
"1031",21,1.83479480639505,1.317,0.958,19.638
"1032",52,2.40562135848328,3.442,0.393,31.59
"1033",15,2.51837582389396,1.377,0.324,12.6834381551363
"1034",21,2.24822606723904,2.495,0.935,16.397
"1035",24,2.44119723927899,3.207,0.028,15.135
"1036",147,2.15492708422157,3.462,0.016,71.003
"1037",35,2.60992821261117,4.981,0.885,19.323
"1038",24,3.43985046641708,5.117,0.288,12.745
"1039",31,2.55417548737391,4.688,0.154,17.245
"104",48,2.08051160236482,2.404,0.027,33.322
"1040",31,3.01160953093007,3.354,0.335,16.393
"1041",11,2.51319051059592,2.052,0.399,8.62725450901804
"1042",28,2.15888324848095,2.581,0.57,20.834
"1043",27,1.64620968479955,1.505,0.095,25.091
"1044",29,2.61769113880607,2.205,0.349,18.839
"1045",29,2.39991641679442,2.366,0.234,21.188
"1046",19,4.08163335016237,4.094,0.429,10.437
"1047",48,1.98151167662642,2.343,0.125,33.279
"1048",15,2.31551763341275,1.738,0.816,12.001002004008
"1049",30,3.59236486041912,6.187,0.79,14.853
"105",15,2.28061935651085,2.528,0.759,12.04
"1050",11,1.79114318151508,1.775,0.09,10.1092184368737
"1051",53,2.00088994178732,2.965,0.736,35.366
"1052",13,2.0556529691337,1.198,0.584,12.2987679671458
"1053",46,2.71094856657152,3.641,0.816,22.815
"1054",21,2.29404566892897,5.628,0.07,13.59
"1055",52,2.52681683018125,4.061,0.941,25.381
"1056",15,1.97822027617035,2.579,0.367,12.048
"1057",21,2.33272089661327,3.098,0.41,14.005
"1058",24,1.8132512253012,1.246,0.022,22.652
"1059",147,2.28270642550493,3.36,0.149,72.12
"106",30,2.11880408129216,2.281,0.785,21.333
"1060",35,2.40088505232083,3.166,0.985,20.976
"1061",24,2.39640637641701,3.91,0.356,15.834
"1062",31,2.04751029713611,2.36,0.692,22.79
"1063",31,2.59568369880994,2.673,0.284,18.96
"1064",11,2.02499316155665,1.334,0.098,10.3242677824268
"1065",28,1.9415995197232,1.239,0.114,26.207
"1066",27,2.25318032837084,2.344,0.767,19.17
"1067",29,2.15057214795182,2.448,0.501,21.357
"1068",29,2.9262433253853,4.833,0.986,15.838
"1069",19,3.63878587544916,6.037,0.397,10.965
"107",11,4.17805095062492,4.968,0.325,7.998998998999
"1070",48,2.18939822443968,2.762,0.928,30.055
"1071",15,2.1966845467786,1.018,0.332,14.8414154652687
"1072",30,2.11416222026772,3.084,0.394,19.93
"1073",11,1.92439499824822,1.393,0.114,10.2020408163265
"1074",53,2.80853703756846,4.022,0.738,28.493
"1075",13,2.77279779555163,3.722,0.445,10.6766766766767
"1076",46,2.34797572535976,3.83,0.636,25.631
"1077",21,1.75205355242592,1.444,0.285,19.503
"1078",52,2.45075261559685,3.042,0.447,27.647
"1079",15,2.74650941071333,2.244,0.476,12.1072144288577
"108",53,2.5569069631752,4.118,0.092,25.697
"1080",21,3.07096207025467,2.808,0.402,14.221
"1081",24,3.16044170213546,2.168,0.314,14.781
"1082",147,2.26110717539087,3.798,0.846,61.611
"1083",35,3.33743022663526,6.363,0.721,15.985
"1084",24,2.04135828614678,2.336,0.173,17.893
"1085",31,2.61448236578951,3.64,0.728,17.906
"1086",31,2.7492807454018,2.755,0.558,18.112
"1087",11,2.42194599404444,1.407,0.553,9.35783783783784
"1088",28,2.29059430225119,2.448,0.109,21.027
"1089",27,2.80938379263299,4.047,0.187,15.313
"109",13,2.48979804378927,2.368,0.155,10.326
"1090",29,2.83152652834142,5.168,0.244,15.217
"1091",29,3.93071940160576,4.833,0.176,12.716
"1092",19,2.82332477239122,2.548,0.457,12.257
"1093",48,2.14526219833768,2.71,0.27,30.383
"1094",15,1.9754982078523,2.591,0.661,12.034
"1095",30,2.26069221868368,2.409,0.299,22.132
"1096",11,1.94852979252306,1.433,0.493,10.1680244399185
